Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
"Kingston upon Hull, City of",E06000010,Upper tier local authority,07/04/2020,12,82
Kingston upon Thames,E09000021,Upper tier local authority,07/04/2020,18,246
Kirklees,E08000034,Upper tier local authority,07/04/2020,31,278
Knowsley,E08000011,Upper tier local authority,07/04/2020,16,238
Lambeth,E09000022,Upper tier local authority,07/04/2020,38,795
Lancashire,E10000017,Upper tier local authority,07/04/2020,106,1266
Leeds,E08000035,Upper tier local authority,07/04/2020,88,540
Leicester,E06000016,Upper tier local authority,07/04/2020,22,300
Leicestershire,E10000018,Upper tier local authority,07/04/2020,20,443
Lewisham,E09000023,Upper tier local authority,07/04/2020,28,617
Lincolnshire,E10000019,Upper tier local authority,07/04/2020,29,390
Liverpool,E08000012,Upper tier local authority,07/04/2020,66,713
Luton,E06000032,Upper tier local authority,07/04/2020,25,288
Manchester,E08000003,Upper tier local authority,07/04/2020,53,517
Medway,E06000035,Upper tier local authority,07/04/2020,34,311
Merton,E09000024,Upper tier local authority,07/04/2020,17,440
Middlesbrough,E06000002,Upper tier local authority,07/04/2020,24,232
Milton Keynes,E06000042,Upper tier local authority,07/04/2020,20,257
Newcastle upon Tyne,E08000021,Upper tier local authority,07/04/2020,40,470
Newham,E09000025,Upper tier local authority,07/04/2020,40,643
Norfolk,E10000020,Upper tier local authority,07/04/2020,50,484
North East Lincolnshire,E06000012,Upper tier local authority,07/04/2020,3,63
North Lincolnshire,E06000013,Upper tier local authority,07/04/2020,5,76
North Somerset,E06000024,Upper tier local authority,07/04/2020,3,96
North Tyneside,E08000022,Upper tier local authority,07/04/2020,26,256
North Yorkshire,E10000023,Upper tier local authority,07/04/2020,36,391
Northamptonshire,E10000021,Upper tier local authority,07/04/2020,23,616
Northumberland,E06000057,Upper tier local authority,07/04/2020,30,287
Nottingham,E06000018,Upper tier local authority,07/04/2020,23,255
Nottinghamshire,E10000024,Upper tier local authority,07/04/2020,36,562
Oldham,E08000004,Upper tier local authority,07/04/2020,20,281
Oxfordshire,E10000025,Upper tier local authority,07/04/2020,71,699
Peterborough,E06000031,Upper tier local authority,07/04/2020,9,97
Plymouth,E06000026,Upper tier local authority,07/04/2020,7,115
Portsmouth,E06000044,Upper tier local authority,07/04/2020,8,140
Reading,E06000038,Upper tier local authority,07/04/2020,13,149
Redbridge,E09000026,Upper tier local authority,07/04/2020,47,428
Redcar and Cleveland,E06000003,Upper tier local authority,07/04/2020,11,139
Richmond upon Thames,E09000027,Upper tier local authority,07/04/2020,14,249
Rochdale,E08000005,Upper tier local authority,07/04/2020,13,219
Rotherham,E08000018,Upper tier local authority,07/04/2020,21,287
Salford,E08000006,Upper tier local authority,07/04/2020,10,312
Sandwell,E08000028,Upper tier local authority,07/04/2020,28,470
Sefton,E08000014,Upper tier local authority,07/04/2020,39,389
Sheffield,E08000019,Upper tier local authority,07/04/2020,55,1150
Shropshire,E06000051,Upper tier local authority,07/04/2020,9,198
Slough,E06000039,Upper tier local authority,07/04/2020,18,199
Solihull,E08000029,Upper tier local authority,07/04/2020,18,291
Somerset,E10000027,Upper tier local authority,07/04/2020,10,155
South Gloucestershire,E06000025,Upper tier local authority,07/04/2020,9,164
South Tyneside,E08000023,Upper tier local authority,07/04/2020,19,168
Southampton,E06000045,Upper tier local authority,07/04/2020,15,212
Southend-on-Sea,E06000033,Upper tier local authority,07/04/2020,18,196
Southwark,E09000028,Upper tier local authority,07/04/2020,43,819
St. Helens,E08000013,Upper tier local authority,07/04/2020,28,324
Staffordshire,E10000028,Upper tier local authority,07/04/2020,56,747
Stockport,E08000007,Upper tier local authority,07/04/2020,28,374
Stockton-on-Tees,E06000004,Upper tier local authority,07/04/2020,19,165
Stoke-on-Trent,E06000021,Upper tier local authority,07/04/2020,11,136
Suffolk,E10000029,Upper tier local authority,07/04/2020,27,375
Sunderland,E08000024,Upper tier local authority,07/04/2020,49,494
Surrey,E10000030,Upper tier local authority,07/04/2020,108,1275
Sutton,E09000029,Upper tier local authority,07/04/2020,29,364
Swindon,E06000030,Upper tier local authority,07/04/2020,17,120
Tameside,E08000008,Upper tier local authority,07/04/2020,10,229
Telford and Wrekin,E06000020,Upper tier local authority,07/04/2020,12,118
Thurrock,E06000034,Upper tier local authority,07/04/2020,14,162
Torbay,E06000027,Upper tier local authority,07/04/2020,6,68
Tower Hamlets,E09000030,Upper tier local authority,07/04/2020,16,422
Trafford,E08000009,Upper tier local authority,07/04/2020,19,301
Wakefield,E08000036,Upper tier local authority,07/04/2020,33,273
Walsall,E08000030,Upper tier local authority,07/04/2020,33,493
Waltham Forest,E09000031,Upper tier local authority,07/04/2020,19,463
Wandsworth,E09000032,Upper tier local authority,07/04/2020,26,652
Warrington,E06000007,Upper tier local authority,07/04/2020,31,246
Warwickshire,E10000031,Upper tier local authority,07/04/2020,37,542
West Berkshire,E06000037,Upper tier local authority,07/04/2020,11,136
West Sussex,E10000032,Upper tier local authority,07/04/2020,23,371
Westminster,E09000033,Upper tier local authority,07/04/2020,13,439
Wigan,E08000010,Upper tier local authority,07/04/2020,24,253
Wiltshire,E06000054,Upper tier local authority,07/04/2020,13,202
Windsor and Maidenhead,E06000040,Upper tier local authority,07/04/2020,10,132
Wirral,E08000015,Upper tier local authority,07/04/2020,50,417
Wokingham,E06000041,Upper tier local authority,07/04/2020,9,142
Wolverhampton,E08000031,Upper tier local authority,07/04/2020,15,373
Worcestershire,E10000034,Upper tier local authority,07/04/2020,43,539
York,E06000014,Upper tier local authority,07/04/2020,13,102
England,E92000001,Country,06/04/2020,4178,54896
West Midlands,E12000005,Region,06/04/2020,339,5984
East of England,E12000006,Region,06/04/2020,376,4511
North West,E12000002,Region,06/04/2020,809,7887
East Midlands,E12000004,Region,06/04/2020,217,3319
South West,E12000009,Region,06/04/2020,177,2420
London,E12000007,Region,06/04/2020,802,14949
Yorkshire and The Humber,E12000003,Region,06/04/2020,343,3946
North East,E12000001,Region,06/04/2020,374,2805
South East,E12000008,Region,06/04/2020,548,7034
Barking and Dagenham,E09000002,Upper tier local authority,06/04/2020,11,257
Barnet,E09000003,Upper tier local authority,06/04/2020,35,790
Barnsley,E08000016,Upper tier local authority,06/04/2020,13,255
Bath and North East Somerset,E06000022,Upper tier local authority,06/04/2020,11,82
Bedford,E06000055,Upper tier local authority,06/04/2020,14,157
Bexley,E09000004,Upper tier local authority,06/04/2020,23,330
Birmingham,E08000025,Upper tier local authority,06/04/2020,64,1567
Blackburn with Darwen,E06000008,Upper tier local authority,06/04/2020,10,103
Blackpool,E06000009,Upper tier local authority,06/04/2020,6,97
Bolton,E08000001,Upper tier local authority,06/04/2020,31,248
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,06/04/2020,17,150
Bracknell Forest,E06000036,Upper tier local authority,06/04/2020,3,83
Bradford,E08000032,Upper tier local authority,06/04/2020,44,312
Brent,E09000005,Upper tier local authority,06/04/2020,36,873
Brighton and Hove,E06000043,Upper tier local authority,06/04/2020,9,162
"Bristol, City of",E06000023,Upper tier local authority,06/04/2020,13,237
Bromley,E09000006,Upper tier local authority,06/04/2020,36,614
Buckinghamshire,E10000002,Upper tier local authority,06/04/2020,25,379
Bury,E08000002,Upper tier local authority,06/04/2020,13,181
Calderdale,E08000033,Upper tier local authority,06/04/2020,10,107
Cambridgeshire,E10000003,Upper tier local authority,06/04/2020,18,303
Camden,E09000007,Upper tier local authority,06/04/2020,15,356
Central Bedfordshire,E06000056,Upper tier local authority,06/04/2020,20,210
Cheshire East,E06000049,Upper tier local authority,06/04/2020,33,281
Cheshire West and Chester,E06000050,Upper tier local authority,06/04/2020,31,307
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,06/04/2020,19,227
County Durham,E06000047,Upper tier local authority,06/04/2020,86,418
Coventry,E08000026,Upper tier local authority,06/04/2020,25,323
Croydon,E09000008,Upper tier local authority,06/04/2020,42,817
Cumbria,E10000006,Upper tier local authority,06/04/2020,96,956
Darlington,E06000005,Upper tier local authority,06/04/2020,21,76
Derby,E06000015,Upper tier local authority,06/04/2020,2,303
Derbyshire,E10000007,Upper tier local authority,06/04/2020,26,595
Devon,E10000008,Upper tier local authority,06/04/2020,14,282
Doncaster,E08000017,Upper tier local authority,06/04/2020,1,178
Dorset,E06000059,Upper tier local authority,06/04/2020,12,147
Dudley,E08000027,Upper tier local authority,06/04/2020,18,367
Ealing,E09000009,Upper tier local authority,06/04/2020,29,568
East Riding of Yorkshire,E06000011,Upper tier local authority,06/04/2020,20,149
East Sussex,E10000011,Upper tier local authority,06/04/2020,19,243
Enfield,E09000010,Upper tier local authority,06/04/2020,24,412
Essex,E10000012,Upper tier local authority,06/04/2020,97,1225
Gateshead,E08000037,Upper tier local authority,06/04/2020,42,270
Gloucestershire,E10000013,Upper tier local authority,06/04/2020,35,440
Greenwich,E09000011,Upper tier local authority,06/04/2020,35,393
Hackney,E09000012,Upper tier local authority,06/04/2020,23,412
Halton,E06000006,Upper tier local authority,06/04/2020,24,148
Hammersmith and Fulham,E09000013,Upper tier local authority,06/04/2020,15,316
Hampshire,E10000014,Upper tier local authority,06/04/2020,101,1264
Haringey,E09000014,Upper tier local authority,06/04/2020,8,330
Harrow,E09000015,Upper tier local authority,06/04/2020,25,538
Hartlepool,E06000001,Upper tier local authority,06/04/2020,9,48
Havering,E09000016,Upper tier local authority,06/04/2020,22,331
"Herefordshire, County of",E06000019,Upper tier local authority,06/04/2020,11,82
Hertfordshire,E10000015,Upper tier local authority,06/04/2020,89,1157
Hillingdon,E09000017,Upper tier local authority,06/04/2020,23,404
Hounslow,E09000018,Upper tier local authority,06/04/2020,17,391
Isle of Wight,E06000046,Upper tier local authority,06/04/2020,4,37
Islington,E09000019,Upper tier local authority,06/04/2020,7,283
Kensington and Chelsea,E09000020,Upper tier local authority,06/04/2020,11,294
Kent,E10000016,Upper tier local authority,06/04/2020,140,1183
"Kingston upon Hull, City of",E06000010,Upper tier local authority,06/04/2020,15,70
Kingston upon Thames,E09000021,Upper tier local authority,06/04/2020,13,228
Kirklees,E08000034,Upper tier local authority,06/04/2020,28,247
Knowsley,E08000011,Upper tier local authority,06/04/2020,31,222
Lambeth,E09000022,Upper tier local authority,06/04/2020,40,757
Lancashire,E10000017,Upper tier local authority,06/04/2020,114,1160
Leeds,E08000035,Upper tier local authority,06/04/2020,55,452
Leicester,E06000016,Upper tier local authority,06/04/2020,26,278
Leicestershire,E10000018,Upper tier local authority,06/04/2020,31,423
Lewisham,E09000023,Upper tier local authority,06/04/2020,44,589
Lincolnshire,E10000019,Upper tier local authority,06/04/2020,37,361
Liverpool,E08000012,Upper tier local authority,06/04/2020,51,647
Luton,E06000032,Upper tier local authority,06/04/2020,28,263
Manchester,E08000003,Upper tier local authority,06/04/2020,68,464
Medway,E06000035,Upper tier local authority,06/04/2020,30,277
Merton,E09000024,Upper tier local authority,06/04/2020,36,423
Middlesbrough,E06000002,Upper tier local authority,06/04/2020,17,208
Milton Keynes,E06000042,Upper tier local authority,06/04/2020,19,237
Newcastle upon Tyne,E08000021,Upper tier local authority,06/04/2020,39,430
Newham,E09000025,Upper tier local authority,06/04/2020,39,603
Norfolk,E10000020,Upper tier local authority,06/04/2020,47,434
North East Lincolnshire,E06000012,Upper tier local authority,06/04/2020,6,60
North Lincolnshire,E06000013,Upper tier local authority,06/04/2020,7,71
North Somerset,E06000024,Upper tier local authority,06/04/2020,6,93
North Tyneside,E08000022,Upper tier local authority,06/04/2020,32,230
North Yorkshire,E10000023,Upper tier local authority,06/04/2020,33,355
Northamptonshire,E10000021,Upper tier local authority,06/04/2020,44,593
Northumberland,E06000057,Upper tier local authority,06/04/2020,28,257
Nottingham,E06000018,Upper tier local authority,06/04/2020,21,232
Nottinghamshire,E10000024,Upper tier local authority,06/04/2020,30,526
Oldham,E08000004,Upper tier local authority,06/04/2020,19,261
Oxfordshire,E10000025,Upper tier local authority,06/04/2020,44,628
Peterborough,E06000031,Upper tier local authority,06/04/2020,8,88
Plymouth,E06000026,Upper tier local authority,06/04/2020,5,108
Portsmouth,E06000044,Upper tier local authority,06/04/2020,10,132
Reading,E06000038,Upper tier local authority,06/04/2020,3,136
Redbridge,E09000026,Upper tier local authority,06/04/2020,26,381
Redcar and Cleveland,E06000003,Upper tier local authority,06/04/2020,9,128
Richmond upon Thames,E09000027,Upper tier local authority,06/04/2020,11,235
Rochdale,E08000005,Upper tier local authority,06/04/2020,10,206
Rotherham,E08000018,Upper tier local authority,06/04/2020,8,266
Salford,E08000006,Upper tier local authority,06/04/2020,28,302
Sandwell,E08000028,Upper tier local authority,06/04/2020,23,442
Sefton,E08000014,Upper tier local authority,06/04/2020,35,350
Sheffield,E08000019,Upper tier local authority,06/04/2020,66,1095
Shropshire,E06000051,Upper tier local authority,06/04/2020,11,189
Slough,E06000039,Upper tier local authority,06/04/2020,9,181
Solihull,E08000029,Upper tier local authority,06/04/2020,12,273
Somerset,E10000027,Upper tier local authority,06/04/2020,16,145
South Gloucestershire,E06000025,Upper tier local authority,06/04/2020,9,155
South Tyneside,E08000023,Upper tier local authority,06/04/2020,23,149
Southampton,E06000045,Upper tier local authority,06/04/2020,9,197
Southend-on-Sea,E06000033,Upper tier local authority,06/04/2020,19,178
Southwark,E09000028,Upper tier local authority,06/04/2020,39,776
St. Helens,E08000013,Upper tier local authority,06/04/2020,23,296
Staffordshire,E10000028,Upper tier local authority,06/04/2020,40,691
Stockport,E08000007,Upper tier local authority,06/04/2020,42,346
Stockton-on-Tees,E06000004,Upper tier local authority,06/04/2020,9,146
Stoke-on-Trent,E06000021,Upper tier local authority,06/04/2020,4,125
Suffolk,E10000029,Upper tier local authority,06/04/2020,29,348
Sunderland,E08000024,Upper tier local authority,06/04/2020,59,445
Surrey,E10000030,Upper tier local authority,06/04/2020,81,1167
Sutton,E09000029,Upper tier local authority,06/04/2020,24,335
Swindon,E06000030,Upper tier local authority,06/04/2020,8,103
Tameside,E08000008,Upper tier local authority,06/04/2020,28,219
Telford and Wrekin,E06000020,Upper tier local authority,06/04/2020,3,106
Thurrock,E06000034,Upper tier local authority,06/04/2020,7,148
Torbay,E06000027,Upper tier local authority,06/04/2020,1,62
Tower Hamlets,E09000030,Upper tier local authority,06/04/2020,25,406
Trafford,E08000009,Upper tier local authority,06/04/2020,22,282
Wakefield,E08000036,Upper tier local authority,06/04/2020,27,240
Walsall,E08000030,Upper tier local authority,06/04/2020,33,460
Waltham Forest,E09000031,Upper tier local authority,06/04/2020,25,444
Wandsworth,E09000032,Upper tier local authority,06/04/2020,33,626
Warrington,E06000007,Upper tier local authority,06/04/2020,31,215
Warwickshire,E10000031,Upper tier local authority,06/04/2020,37,505
West Berkshire,E06000037,Upper tier local authority,06/04/2020,6,125
West Sussex,E10000032,Upper tier local authority,06/04/2020,27,348
Westminster,E09000033,Upper tier local authority,06/04/2020,10,426
Wigan,E08000010,Upper tier local authority,06/04/2020,17,229
Wiltshire,E06000054,Upper tier local authority,06/04/2020,11,189
Windsor and Maidenhead,E06000040,Upper tier local authority,06/04/2020,3,122
Wirral,E08000015,Upper tier local authority,06/04/2020,46,367
Wokingham,E06000041,Upper tier local authority,06/04/2020,6,133
Wolverhampton,E08000031,Upper tier local authority,06/04/2020,22,358
Worcestershire,E10000034,Upper tier local authority,06/04/2020,36,496
York,E06000014,Upper tier local authority,06/04/2020,10,89
England,E92000001,Country,05/04/2020,3004,50718
West Midlands,E12000005,Region,05/04/2020,268,5645
East of England,E12000006,Region,05/04/2020,278,4135
North West,E12000002,Region,05/04/2020,614,7078
East Midlands,E12000004,Region,05/04/2020,147,3102
South West,E12000009,Region,05/04/2020,152,2243
London,E12000007,Region,05/04/2020,603,14147
Yorkshire and The Humber,E12000003,Region,05/04/2020,223,3603
North East,E12000001,Region,05/04/2020,221,2431
South East,E12000008,Region,05/04/2020,410,6486
Barking and Dagenham,E09000002,Upper tier local authority,05/04/2020,16,246
Barnet,E09000003,Upper tier local authority,05/04/2020,40,755
Barnsley,E08000016,Upper tier local authority,05/04/2020,2,242
Bath and North East Somerset,E06000022,Upper tier local authority,05/04/2020,5,71
Bedford,E06000055,Upper tier local authority,05/04/2020,5,143
Bexley,E09000004,Upper tier local authority,05/04/2020,18,307
Birmingham,E08000025,Upper tier local authority,05/04/2020,70,1503
Blackburn with Darwen,E06000008,Upper tier local authority,05/04/2020,8,93
Blackpool,E06000009,Upper tier local authority,05/04/2020,3,91
Bolton,E08000001,Upper tier local authority,05/04/2020,15,217
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,05/04/2020,12,133
Bracknell Forest,E06000036,Upper tier local authority,05/04/2020,4,80
Bradford,E08000032,Upper tier local authority,05/04/2020,28,268
Brent,E09000005,Upper tier local authority,05/04/2020,37,837
Brighton and Hove,E06000043,Upper tier local authority,05/04/2020,9,153
"Bristol, City of",E06000023,Upper tier local authority,05/04/2020,14,224
Bromley,E09000006,Upper tier local authority,05/04/2020,27,578
Buckinghamshire,E10000002,Upper tier local authority,05/04/2020,13,354
Bury,E08000002,Upper tier local authority,05/04/2020,15,168
Calderdale,E08000033,Upper tier local authority,05/04/2020,3,97
Cambridgeshire,E10000003,Upper tier local authority,05/04/2020,26,285
Camden,E09000007,Upper tier local authority,05/04/2020,16,341
Central Bedfordshire,E06000056,Upper tier local authority,05/04/2020,16,190
Cheshire East,E06000049,Upper tier local authority,05/04/2020,27,248
Cheshire West and Chester,E06000050,Upper tier local authority,05/04/2020,32,276
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,05/04/2020,11,208
County Durham,E06000047,Upper tier local authority,05/04/2020,26,332
Coventry,E08000026,Upper tier local authority,05/04/2020,10,298
Croydon,E09000008,Upper tier local authority,05/04/2020,36,775
Cumbria,E10000006,Upper tier local authority,05/04/2020,79,860
Darlington,E06000005,Upper tier local authority,05/04/2020,2,55
Derby,E06000015,Upper tier local authority,05/04/2020,2,301
Derbyshire,E10000007,Upper tier local authority,05/04/2020,8,569
Devon,E10000008,Upper tier local authority,05/04/2020,20,268
Dorset,E06000059,Upper tier local authority,05/04/2020,6,135
Dudley,E08000027,Upper tier local authority,05/04/2020,20,349
Ealing,E09000009,Upper tier local authority,05/04/2020,14,539
East Riding of Yorkshire,E06000011,Upper tier local authority,05/04/2020,10,129
East Sussex,E10000011,Upper tier local authority,05/04/2020,12,224
Enfield,E09000010,Upper tier local authority,05/04/2020,12,388
Essex,E10000012,Upper tier local authority,05/04/2020,52,1128
Gateshead,E08000037,Upper tier local authority,05/04/2020,20,228
Gloucestershire,E10000013,Upper tier local authority,05/04/2020,31,405
Greenwich,E09000011,Upper tier local authority,05/04/2020,21,358
Hackney,E09000012,Upper tier local authority,05/04/2020,20,389
Halton,E06000006,Upper tier local authority,05/04/2020,15,124
Hammersmith and Fulham,E09000013,Upper tier local authority,05/04/2020,10,301
Hampshire,E10000014,Upper tier local authority,05/04/2020,74,1163
Haringey,E09000014,Upper tier local authority,05/04/2020,8,322
Harrow,E09000015,Upper tier local authority,05/04/2020,26,513
Hartlepool,E06000001,Upper tier local authority,05/04/2020,3,39
Havering,E09000016,Upper tier local authority,05/04/2020,20,309
"Herefordshire, County of",E06000019,Upper tier local authority,05/04/2020,4,71
Hertfordshire,E10000015,Upper tier local authority,05/04/2020,61,1068
Hillingdon,E09000017,Upper tier local authority,05/04/2020,16,381
Hounslow,E09000018,Upper tier local authority,05/04/2020,19,374
Isle of Wight,E06000046,Upper tier local authority,05/04/2020,2,33
Islington,E09000019,Upper tier local authority,05/04/2020,4,276
Kensington and Chelsea,E09000020,Upper tier local authority,05/04/2020,6,283
Kent,E10000016,Upper tier local authority,05/04/2020,72,1043
"Kingston upon Hull, City of",E06000010,Upper tier local authority,05/04/2020,4,55
Kingston upon Thames,E09000021,Upper tier local authority,05/04/2020,9,215
Kirklees,E08000034,Upper tier local authority,05/04/2020,12,219
Knowsley,E08000011,Upper tier local authority,05/04/2020,16,191
Lambeth,E09000022,Upper tier local authority,05/04/2020,17,717
Lancashire,E10000017,Upper tier local authority,05/04/2020,94,1046
Leeds,E08000035,Upper tier local authority,05/04/2020,38,397
Leicester,E06000016,Upper tier local authority,05/04/2020,20,252
Leicestershire,E10000018,Upper tier local authority,05/04/2020,30,392
Lewisham,E09000023,Upper tier local authority,05/04/2020,28,545
Lincolnshire,E10000019,Upper tier local authority,05/04/2020,21,324
Liverpool,E08000012,Upper tier local authority,05/04/2020,46,596
Luton,E06000032,Upper tier local authority,05/04/2020,27,235
Manchester,E08000003,Upper tier local authority,05/04/2020,36,396
Medway,E06000035,Upper tier local authority,05/04/2020,19,247
Merton,E09000024,Upper tier local authority,05/04/2020,17,387
Middlesbrough,E06000002,Upper tier local authority,05/04/2020,21,191
Milton Keynes,E06000042,Upper tier local authority,05/04/2020,21,218
Newcastle upon Tyne,E08000021,Upper tier local authority,05/04/2020,24,391
Newham,E09000025,Upper tier local authority,05/04/2020,24,564
Norfolk,E10000020,Upper tier local authority,05/04/2020,36,387
North East Lincolnshire,E06000012,Upper tier local authority,05/04/2020,2,54
North Somerset,E06000024,Upper tier local authority,05/04/2020,4,87
North Tyneside,E08000022,Upper tier local authority,05/04/2020,18,198
North Yorkshire,E10000023,Upper tier local authority,05/04/2020,24,322
Northamptonshire,E10000021,Upper tier local authority,05/04/2020,34,549
Northumberland,E06000057,Upper tier local authority,05/04/2020,23,229
Nottingham,E06000018,Upper tier local authority,05/04/2020,11,211
Nottinghamshire,E10000024,Upper tier local authority,05/04/2020,20,496
Oldham,E08000004,Upper tier local authority,05/04/2020,13,242
Oxfordshire,E10000025,Upper tier local authority,05/04/2020,49,584
Peterborough,E06000031,Upper tier local authority,05/04/2020,6,80
Plymouth,E06000026,Upper tier local authority,05/04/2020,1,103
Portsmouth,E06000044,Upper tier local authority,05/04/2020,10,122
Reading,E06000038,Upper tier local authority,05/04/2020,8,133
Redbridge,E09000026,Upper tier local authority,05/04/2020,22,355
Redcar and Cleveland,E06000003,Upper tier local authority,05/04/2020,8,119
Richmond upon Thames,E09000027,Upper tier local authority,05/04/2020,7,224
Rochdale,E08000005,Upper tier local authority,05/04/2020,11,196
Rotherham,E08000018,Upper tier local authority,05/04/2020,9,258
Rutland,E06000017,Upper tier local authority,05/04/2020,1,8
Salford,E08000006,Upper tier local authority,05/04/2020,16,274
Sandwell,E08000028,Upper tier local authority,05/04/2020,24,419
Sefton,E08000014,Upper tier local authority,05/04/2020,27,315
Sheffield,E08000019,Upper tier local authority,05/04/2020,66,1029
Shropshire,E06000051,Upper tier local authority,05/04/2020,7,178
Slough,E06000039,Upper tier local authority,05/04/2020,5,172
Solihull,E08000029,Upper tier local authority,05/04/2020,10,261
Somerset,E10000027,Upper tier local authority,05/04/2020,8,129
South Gloucestershire,E06000025,Upper tier local authority,05/04/2020,10,146
South Tyneside,E08000023,Upper tier local authority,05/04/2020,15,126
Southampton,E06000045,Upper tier local authority,05/04/2020,12,188
Southend-on-Sea,E06000033,Upper tier local authority,05/04/2020,9,159
Southwark,E09000028,Upper tier local authority,05/04/2020,24,737
St. Helens,E08000013,Upper tier local authority,05/04/2020,21,273
Staffordshire,E10000028,Upper tier local authority,05/04/2020,32,651
Stockport,E08000007,Upper tier local authority,05/04/2020,26,304
Stockton-on-Tees,E06000004,Upper tier local authority,05/04/2020,12,137
Stoke-on-Trent,E06000021,Upper tier local authority,05/04/2020,7,121
Suffolk,E10000029,Upper tier local authority,05/04/2020,31,319
Sunderland,E08000024,Upper tier local authority,05/04/2020,49,386
Surrey,E10000030,Upper tier local authority,05/04/2020,65,1086
Sutton,E09000029,Upper tier local authority,05/04/2020,10,311
Swindon,E06000030,Upper tier local authority,05/04/2020,10,95
Tameside,E08000008,Upper tier local authority,05/04/2020,14,191
Telford and Wrekin,E06000020,Upper tier local authority,05/04/2020,9,103
Thurrock,E06000034,Upper tier local authority,05/04/2020,9,141
Torbay,E06000027,Upper tier local authority,05/04/2020,3,61
Tower Hamlets,E09000030,Upper tier local authority,05/04/2020,19,381
Trafford,E08000009,Upper tier local authority,05/04/2020,19,260
Wakefield,E08000036,Upper tier local authority,05/04/2020,21,213
Walsall,E08000030,Upper tier local authority,05/04/2020,17,427
Waltham Forest,E09000031,Upper tier local authority,05/04/2020,26,419
Wandsworth,E09000032,Upper tier local authority,05/04/2020,17,593
Warrington,E06000007,Upper tier local authority,05/04/2020,23,184
Warwickshire,E10000031,Upper tier local authority,05/04/2020,24,468
West Berkshire,E06000037,Upper tier local authority,05/04/2020,6,119
West Sussex,E10000032,Upper tier local authority,05/04/2020,17,321
Westminster,E09000033,Upper tier local authority,05/04/2020,17,416
Wigan,E08000010,Upper tier local authority,05/04/2020,15,212
Wiltshire,E06000054,Upper tier local authority,05/04/2020,17,178
Windsor and Maidenhead,E06000040,Upper tier local authority,05/04/2020,4,119
Wirral,E08000015,Upper tier local authority,05/04/2020,43,321
Wokingham,E06000041,Upper tier local authority,05/04/2020,8,127
Wolverhampton,E08000031,Upper tier local authority,05/04/2020,10,336
Worcestershire,E10000034,Upper tier local authority,05/04/2020,24,460
York,E06000014,Upper tier local authority,05/04/2020,4,79
England,E92000001,Country,04/04/2020,3219,47714
West Midlands,E12000005,Region,04/04/2020,336,5377
East of England,E12000006,Region,04/04/2020,243,3857
North West,E12000002,Region,04/04/2020,599,6464
East Midlands,E12000004,Region,04/04/2020,190,2955
South West,E12000009,Region,04/04/2020,174,2091
London,E12000007,Region,04/04/2020,679,13544
Yorkshire and The Humber,E12000003,Region,04/04/2020,204,3380
North East,E12000001,Region,04/04/2020,254,2210
South East,E12000008,Region,04/04/2020,426,6076
Barking and Dagenham,E09000002,Upper tier local authority,04/04/2020,6,230
Barnet,E09000003,Upper tier local authority,04/04/2020,34,715
Barnsley,E08000016,Upper tier local authority,04/04/2020,12,240
Bath and North East Somerset,E06000022,Upper tier local authority,04/04/2020,1,66
Bedford,E06000055,Upper tier local authority,04/04/2020,6,138
Bexley,E09000004,Upper tier local authority,04/04/2020,20,289
Birmingham,E08000025,Upper tier local authority,04/04/2020,83,1433
Blackburn with Darwen,E06000008,Upper tier local authority,04/04/2020,10,85
Blackpool,E06000009,Upper tier local authority,04/04/2020,14,88
Bolton,E08000001,Upper tier local authority,04/04/2020,23,202
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,04/04/2020,8,121
Bracknell Forest,E06000036,Upper tier local authority,04/04/2020,7,76
Bradford,E08000032,Upper tier local authority,04/04/2020,21,240
Brent,E09000005,Upper tier local authority,04/04/2020,48,800
Brighton and Hove,E06000043,Upper tier local authority,04/04/2020,12,144
"Bristol, City of",E06000023,Upper tier local authority,04/04/2020,10,210
Bromley,E09000006,Upper tier local authority,04/04/2020,31,551
Buckinghamshire,E10000002,Upper tier local authority,04/04/2020,21,341
Bury,E08000002,Upper tier local authority,04/04/2020,11,153
Calderdale,E08000033,Upper tier local authority,04/04/2020,8,94
Cambridgeshire,E10000003,Upper tier local authority,04/04/2020,19,259
Camden,E09000007,Upper tier local authority,04/04/2020,20,325
Central Bedfordshire,E06000056,Upper tier local authority,04/04/2020,7,174
Cheshire East,E06000049,Upper tier local authority,04/04/2020,19,221
Cheshire West and Chester,E06000050,Upper tier local authority,04/04/2020,30,244
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,04/04/2020,15,197
County Durham,E06000047,Upper tier local authority,04/04/2020,31,306
Coventry,E08000026,Upper tier local authority,04/04/2020,18,288
Croydon,E09000008,Upper tier local authority,04/04/2020,43,739
Cumbria,E10000006,Upper tier local authority,04/04/2020,52,781
Darlington,E06000005,Upper tier local authority,04/04/2020,10,53
Derby,E06000015,Upper tier local authority,04/04/2020,18,299
Derbyshire,E10000007,Upper tier local authority,04/04/2020,33,561
